title,companyName,location,link
각 부문별,컬리,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=84329a66291839cd
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2b9e604e63e7e46d
"커머스 플랫폼 개발자 (Frontend - JavaScript, React)",컬리,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=06fd0ac8565b634d
"파트너 플랫폼 개발자 (프론트엔드 - Javascript, React)",컬리,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f8f0ef7b1561305d
SOFTWARE ENGINEER - FRONTEND,"ODK Media, Inc.",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=463c61239617b013
Front-End React 개발자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3e6a3d1ff17c7781
(주)노랑풍선 전사 IT 부문(개발자 외) 경력직,노랑풍선,서울 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d9b640665f21b5f2
웹 프론트엔드( React) 개발자,쿼렌시스,서울 성동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=664adfb63189e24d
"[로봇개발본부(판교근무)] 각 분야별 (백엔드, WEB APP 개발, APP 개발)",트위니,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=46253fd5b203d931
모바일 앱 엔지니어,RIDI Corp,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=08b8bee222e3df20
(주) 패스트림 React 웹 개발자,패스트림,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ccce757f9470d07d
프론트엔드 엔지니어,RIDI Corp,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e56413d304831a5e
[TmaxOffice/R&D] Web App 서비스 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d02b99a516b61ed3
기간제 직원 채용[RA테스트베드 공표시스템 운용],코스콤,서울 여의도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=42afa6674e4089a6
React / React Native / javascript 개발자(신입/경력),블록오디세이,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4f7d8dd1ca5a456b
[모바일게임 개발사] 메타버스 *** 프론트엔드 개발자,커리어라임즈,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=54459ba67c46d6db
"웹기획, UI·UX디자인 외 신입/경력 정규직, 계약직, 프리랜서",프레임아웃,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=97ddc5dae28d53da
[TmaxWAPL/R&D] WAPL 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d97850fe3331afff
[카카오 클라우드] 카카오 클라우드 프론트엔드 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=89b6f46310e70a4a
프론트엔드(REACT) 경력 정규직,넥스트커리어,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=488aa0da8843c327
[TmaxAI/R&D] NLP(자연어/문서/음성)부문 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5fa942bd615ebd27
[TmaxEdu/R&D] 연구 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cb4eca654b2c2901
Financial Controllership Analyst,Baker Hughes,경기도 성남,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4da38c4cc390166d
프론트엔드 개발자 (Frontend Engineer) 증권플러스 서비스 개발,두나무,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1e4cb297ee0f40af
[TmaxSoft/R&D] 미들웨어 부문 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=255fadb445814944
"[TmaxMetaverse/R&D] 게임 엔진, 게임 서버, 메타버스 스튜디오 개발자",티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b9d4defa6e2b7739
[카카오 클라우드] 컨테이너 클라우드 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=efe1812b2d591393
Financial Analyst,Oracle,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=de5f6338cb8c7ae6
[SNOW] Server 백엔드 개발자,스노우,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=12a39b4a0e2f38d9
카카오 전체의 계정 플랫폼을 만들 서버개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1399ee2f387a27dd
"프론트엔드, 백엔드, Java·JSP 신입,경력사원",틴텍씨앤씨,서울 강서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=29e80c7685907ed5
UI마크업 개발자,NHN SOFT,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=923e16ab9576b28c
프론트엔드 개발자,당근마켓,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3611c7914f6c829e
Datacenter Engineer,Oracle,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a692f83229bd339f
Cross Border Ecommerce - Team Assistant (Based in Seoul),Shopee,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ef847388cd119b0b
[SNOW] Server 백엔드 개발자,네이버,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=28a163cee46d9d61
카카오 디스플레이(비즈보드) 광고 플랫폼 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8864f0785e6b8c9d
[TmaxOS/R&D] OS부문 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=75c17bc2904bba52
비즈개발실 서버 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=736eb193e417cee2
Frontend Engineer,Riiid Labs,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3df99317c0531279
미래전략추진실 데이터 분석 플랫폼 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=341925e229fc5738
아이들나라 Front-End 개발자,LG유플러스,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ac9640e36223a420
웹 프론트엔드 엔지니어,Nearthlab,서울 역삼역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=34d74e4ff3618f1a
WebRTC UC & Collaboration Frontend & Backend Developer,Ericsson,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4ea78a5fc824bb1e
React (리액트) Node.js (노드) 기반 Frontend (프론트앤드) 개발자,커리어4.0,경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=25fb0bcc307145ae
[신입/경력] 모바일/웹 개발자 정규직,블랍스,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bde56f46af4e9a3a
"R&D Engineer, Sr II (1 year Contract)",Synopsys,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=310ec77961b77d2a
백엔드 개발자(C# 또는 Node.js),프론티,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=40a17b6a0c1dffe3
".NET, C#, React, 프론트엔드, 백엔드 외 신입/경력 정규직",디포커스,서울 성동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d32c39cd2f3c0f33
프론트엔드개발자 신입 정규직,더빙팩토리,서울 관악구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c0c9f266568f250c
여행 좋아하는 주니어 개발자,메리홀리데이,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bcb66193e91fee96
2월 11번가 Backend 개발 경력공채,십일번가,서울 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cae856b09262a4bb
Frontend 개발자,플리토,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=cb85566aedd4d1cf
"css, 웹퍼블리셔(HTML코딩) 외 경력 정규직",에이피서비스,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2dbe4c7e2066d839
Front-End 개발자 (인재 Pool),LG유플러스,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=da008a27aff6bb44
프론트엔드 웹 개발자,펄핏,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9ba2af0dadae83c3
Web Front-End Engineer,뱅크샐러드,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b200aad8187f4974
[TmaxTibero/R&D] 데이터 분석 플랫폼 프론트 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=eb81f42581e62f15
Data Scientist (IBM Client Engineering),IBM,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5a1932132530e651
카카오같이가치 웹개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=477699d69802e349
[텐일레븐] 2021 전문연구요원,텐일레븐,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1cfcad810cb2e203
[Vision AI] Front-end 개발자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f49d76ad223cd4c4
AI 서비스 Front-End 개발자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f5baec1f82239e1a
Web(java) 개발자,㈜윌러스,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1e8f0b538415febe
APP 개발자(react native),더트라이브,과천 과천시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=44555f028d57be1e
React 개발 / 사원급(자동차 부품 제조 대기업),유어사이드,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=09908764b8bb0fbe
카카오 사용자 인터랙션 연구 개발,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0ca5a9b1ac697fb3
프론트엔드 개발자 (스마트프런트팀),야놀자,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=85b633432fdc315d
Frontend Developer,아우름플래닛,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2c424681fddd90dc
(주)데이터누리 프론트엔드 개발자 정규직,데이터누리,서울 강서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b2f982d4b8b2c563
"[협업툴] Front-End 개발(javascript, React.js, React Native 중, 하나)",콜라비팀,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=04bfd9f54ac86232
Front-end Software Engineer - Korea,MOLOCO,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a8fd53d000c5ffcc
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=55a19c92c845685e
프론트엔드(Front-end) 개발자님 정중히 (react-native),위솝,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b226536a79e18737
[경력] 하둡 플랫폼 서비스 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8fa17c6073918c5b
클라이언트 개발자 FrontEnd Developer,에스제이에이치스튜디오,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4889d2814b462d35
[웹젠] 프론트엔드 개발(경력),웹젠,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5c5bc545bd2e2120
React Native Developer,아우름플래닛,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=59c9ee6a635c251a
[플랫폼개발팀] Frontend 개발자 경력채용,한화그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d5ea7fa62d3b9f1a
데이터 분석플랫폼 웹개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fc4db69911802ead
[모바일게임 개발사] 툴 개발 프로그래머,커리어라임즈,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c4155dc84cd893d0
React Native Developer (Global),Toss,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9479b6a8a43d32f0
"MCS2본부 -연결 회계, 관리회계, 그룹 경영관리, 마이크로소프트 및 IT컨설턴트 채용",삼정 KPMG,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=82ce761572e73bd2
자동테스트 시스템 개발을 위한 서버 프로그래머 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1764b6df8505028e
Web FrontEnd개발자 모집,알서포트,서울 몽촌토성역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=325fdeb1c842ea48
e-스포츠 서비스개발 및 운영,아프리카TV,경기도 성남,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c308cc7324784382
2021년 수시 - 웹 개발,로보티즈,서울 강서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=203c452dea9222e3
유명 주식투자 정보제공 기업 앱개발(iOS/Android) 프리랜서,인파트너스,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fb3e517e2dab6d6b
(주)작당모의 앱 개발자,작당모의,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bec33b19427238a4
프론트엔드 파운트 개발자 (현재 급여 이상 보장),파운트,서울 충정로역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4a0ddfbfc4a11dd0
IT분야 경력사원 채용,한솔홈데코,서울 신대방동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d0c0a7e84647a731
플랫폼서비스 웹서비스 개발,아프리카TV,경기도 성남,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=feb5b5e9e1e2bfe0
DB Engineer 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9d2eee513761aded
신사업 경력직 채용[수소],현대글로비스,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a320f1de4b2555d4
기간제 직원 채용[행정지원],코스콤,서울 여의도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=252d6d6a0a8da763
3분기 자동화CIC 신입/경력 채용[R&D],LS일렉트릭,안양 동안구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6f6c77e512aa0fed
크로스플랫폼 (React Native App) 개발자,에임메드,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e7abfe75808ecb33
[라프텔] 프론트엔드 엔지니어,RIDI Corp,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8876914f28d2c55f
[TmaxAI/R&D] AI & FinTech 부문 프론트엔드 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=43835708050a81c8
Solana Dapp Developer,MIND AI,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=72c3de496b865cfb
[TmaxAI/R&D] AI & FinTech 부문 프론트엔드 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=43835708050a81c8
[경력] 하둡 플랫폼 서비스 개발자 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8fa17c6073918c5b
프론트엔드 개발자 국내최대 모바일 플랫폼 대기업 계열사,,서울 잠실역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6dcb5f6bf1ffa323
기간제 직원 채용[대외접속업무 개발/운용],코스콤,서울 여의도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e0acfd7bc1dfe98b
React Native Developer (Global),Toss,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9479b6a8a43d32f0
[환경가전 대기업] IT개발실 Front-end 개발팀 팀장급 (과장~부장),커리어라임즈,서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d8d1f42a232f4459
프론트엔드(Front-end) 개발자님 정중히 (react-native),위솝,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b226536a79e18737
e-스포츠 서비스개발 및 운영,아프리카TV,경기도 성남,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c308cc7324784382
[Vision AI] Front-end 개발자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f49d76ad223cd4c4
기간제 직원 채용[기반기술],코스콤,서울 여의도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5c28f29e380d2199
크로스플랫폼 (React Native App) 개발자,에임메드,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e7abfe75808ecb33
[SNOW] Server 백엔드 개발자,네이버,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=28a163cee46d9d61
(주)푸른새벽 웹/앱 프로그래머 팀원,푸른새벽,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a14fe79cc82d9033
React Native Developer,아우름플래닛,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=59c9ee6a635c251a
